Class_ID,Class,Train Sample Count,Is Minority,CE Recall,Focal Recall,Recall Improvement,CE F1,Focal F1,F1 Improvement
34,Tomato___Target_Spot,224,False,0.5714285714285714,0.9047619047619048,0.33333333333333337,0.6857142857142857,0.7755102040816326,0.0897959183673469
22,Potato___healthy,54,True,0.625,0.875,0.25,0.6666666666666666,0.9333333333333333,0.2666666666666667
29,Tomato___Early_blight,160,False,0.26666666666666666,0.43333333333333335,0.16666666666666669,0.41025641025641024,0.5909090909090909,0.1806526806526807
3,Apple___healthy,263,False,0.6122448979591837,0.7755102040816326,0.16326530612244894,0.7317073170731707,0.7450980392156863,0.013390722142515576
30,Tomato___Late_blight,305,False,0.45614035087719296,0.5964912280701754,0.14035087719298245,0.5531914893617021,0.5573770491803278,0.004185559818625673
0,Apple___Apple_scab,100,True,0.5,0.6111111111111112,0.11111111111111116,0.4864864864864865,0.6666666666666666,0.18018018018018012
36,Tomato___Tomato_mosaic_virus,134,True,0.9090909090909091,1.0,0.09090909090909094,0.5405405405405406,0.7586206896551724,0.2180801491146318
9,Corn_(maize)___Northern_Leaf_Blight,157,True,0.8620689655172413,0.9310344827586207,0.06896551724137934,0.8771929824561403,0.782608695652174,-0.09458428680396636
21,Potato___Late_blight,160,False,0.3,0.36666666666666664,0.06666666666666665,0.45,0.4888888888888889,0.03888888888888886
20,Potato___Early_blight,160,False,0.9,0.9666666666666667,0.06666666666666665,0.8571428571428571,0.7631578947368421,-0.09398496240601495
16,Peach___Bacterial_spot,367,False,0.7971014492753623,0.855072463768116,0.05797101449275366,0.7971014492753623,0.7564102564102564,-0.04069119286510592
32,Tomato___Septoria_leaf_spot,283,False,0.6226415094339622,0.6792452830188679,0.05660377358490565,0.66,0.6792452830188679,0.019245283018867854
24,Soybean___healthy,814,False,0.9407894736842105,0.9671052631578947,0.02631578947368418,0.9022082018927445,0.9158878504672897,0.013679648574545178
4,Blueberry___healthy,240,False,0.9777777777777777,1.0,0.022222222222222254,0.8627450980392157,0.9090909090909091,0.04634581105169333
25,Squash___Powdery_mildew,293,False,0.9818181818181818,1.0,0.018181818181818188,0.972972972972973,1.0,0.027027027027026973
1,Apple___Black_rot,223,False,1.0,1.0,0.0,0.6923076923076923,0.782608695652174,0.09030100334448166
27,Strawberry___healthy,164,False,0.9230769230769231,0.9230769230769231,0.0,0.75,0.8888888888888888,0.13888888888888884
26,Strawberry___Leaf_scorch,177,False,0.8181818181818182,0.8181818181818182,0.0,0.8852459016393442,0.8307692307692308,-0.05447667087011343
37,Tomato___healthy,254,False,1.0,1.0,0.0,0.9791666666666666,0.9690721649484536,-0.010094501718213023
15,Orange___Haunglongbing_(Citrus_greening),881,False,0.9939393939393939,0.9939393939393939,0.0,0.9704142011834319,0.973293768545994,0.0028795673625621188
13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),172,False,0.875,0.875,0.0,0.9032258064516129,0.8888888888888888,-0.014336917562724039
12,Grape___Esca_(Black_Measles),221,False,0.8780487804878049,0.8780487804878049,0.0,0.8888888888888888,0.8571428571428571,-0.031746031746031744
17,Peach___healthy,129,True,1.0,1.0,0.0,0.8695652173913043,0.8333333333333334,-0.03623188405797095
28,Tomato___Bacterial_spot,340,False,0.6825396825396826,0.6666666666666666,-0.015873015873015928,0.7889908256880734,0.7777777777777778,-0.011213047910295648
10,Corn_(maize)___healthy,186,False,1.0,0.9705882352941176,-0.02941176470588236,1.0,0.9850746268656716,-0.014925373134328401
6,Cherry_(including_sour)___healthy,136,True,0.84,0.8,-0.039999999999999925,0.875,0.851063829787234,-0.02393617021276595
35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,857,False,0.98125,0.90625,-0.07499999999999996,0.9691358024691358,0.9446254071661238,-0.024510395303012023
33,Tomato___Spider_mites Two-spotted_spider_mite,268,False,0.8,0.72,-0.08000000000000007,0.8080808080808081,0.7741935483870968,-0.033887259693711314
11,Grape___Black_rot,188,False,0.7142857142857143,0.6285714285714286,-0.08571428571428574,0.704225352112676,0.7096774193548387,0.005452067242162739
23,Raspberry___healthy,133,True,1.0,0.9090909090909091,-0.09090909090909094,0.88,0.9523809523809523,0.07238095238095232
2,Apple___Cedar_apple_rust,99,True,0.75,0.625,-0.125,0.7058823529411765,0.6666666666666666,-0.03921568627450989
19,"Pepper,_bell___healthy",236,False,0.9318181818181818,0.7954545454545454,-0.13636363636363635,0.803921568627451,0.8536585365853658,0.049736967957914824
8,Corn_(maize)___Common_rust_,190,False,0.9722222222222222,0.8055555555555556,-0.16666666666666663,0.9722222222222222,0.8923076923076924,-0.07991452991452985
14,Grape___healthy,152,True,0.9166666666666666,0.75,-0.16666666666666663,0.8461538461538461,0.782608695652174,-0.0635451505016722
5,Cherry_(including_sour)___Powdery_mildew,168,False,0.8387096774193549,0.6451612903225806,-0.19354838709677424,0.8253968253968254,0.7843137254901961,-0.04108309990662928
31,Tomato___Leaf_Mold,152,True,0.7857142857142857,0.5714285714285714,-0.2142857142857143,0.7719298245614035,0.6666666666666666,-0.10526315789473684
18,"Pepper,_bell___Bacterial_spot",159,False,0.7931034482758621,0.5517241379310345,-0.24137931034482762,0.6216216216216216,0.6530612244897959,0.031439602868174266
7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,184,False,0.9333333333333333,0.6,-0.33333333333333337,0.8235294117647058,0.6,-0.22352941176470587
