Experiment,Class_ID,Class,Train Sample Count,Is Minority,Per-class Recall,Per-class F1
ce_baseline,0,Apple___Apple_scab,100,True,0.5,0.4864864864864865
ce_baseline,1,Apple___Black_rot,223,False,1.0,0.6923076923076923
ce_baseline,2,Apple___Cedar_apple_rust,99,True,0.75,0.7058823529411765
ce_baseline,3,Apple___healthy,263,False,0.6122448979591837,0.7317073170731707
ce_baseline,4,Blueberry___healthy,240,False,0.9777777777777777,0.8627450980392157
ce_baseline,5,Cherry_(including_sour)___Powdery_mildew,168,False,0.8387096774193549,0.8253968253968254
ce_baseline,6,Cherry_(including_sour)___healthy,136,True,0.84,0.875
ce_baseline,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,184,False,0.9333333333333333,0.8235294117647058
ce_baseline,8,Corn_(maize)___Common_rust_,190,False,0.9722222222222222,0.9722222222222222
ce_baseline,9,Corn_(maize)___Northern_Leaf_Blight,157,True,0.8620689655172413,0.8771929824561403
ce_baseline,10,Corn_(maize)___healthy,186,False,1.0,1.0
ce_baseline,11,Grape___Black_rot,188,False,0.7142857142857143,0.704225352112676
ce_baseline,12,Grape___Esca_(Black_Measles),221,False,0.8780487804878049,0.8888888888888888
ce_baseline,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),172,False,0.875,0.9032258064516129
ce_baseline,14,Grape___healthy,152,True,0.9166666666666666,0.8461538461538461
ce_baseline,15,Orange___Haunglongbing_(Citrus_greening),881,False,0.9939393939393939,0.9704142011834319
ce_baseline,16,Peach___Bacterial_spot,367,False,0.7971014492753623,0.7971014492753623
ce_baseline,17,Peach___healthy,129,True,1.0,0.8695652173913043
ce_baseline,18,"Pepper,_bell___Bacterial_spot",159,False,0.7931034482758621,0.6216216216216216
ce_baseline,19,"Pepper,_bell___healthy",236,False,0.9318181818181818,0.803921568627451
ce_baseline,20,Potato___Early_blight,160,False,0.9,0.8571428571428571
ce_baseline,21,Potato___Late_blight,160,False,0.3,0.45
ce_baseline,22,Potato___healthy,54,True,0.625,0.6666666666666666
ce_baseline,23,Raspberry___healthy,133,True,1.0,0.88
ce_baseline,24,Soybean___healthy,814,False,0.9407894736842105,0.9022082018927445
ce_baseline,25,Squash___Powdery_mildew,293,False,0.9818181818181818,0.972972972972973
ce_baseline,26,Strawberry___Leaf_scorch,177,False,0.8181818181818182,0.8852459016393442
ce_baseline,27,Strawberry___healthy,164,False,0.9230769230769231,0.75
ce_baseline,28,Tomato___Bacterial_spot,340,False,0.6825396825396826,0.7889908256880734
