Experiment,Accuracy,Macro Precision,Macro Recall,Macro F1,Minority Recall,Worst-class Recall
class_balanced_loss,0.8325092707045736,0.7750587148205241,0.8458575041394688,0.7959354455148562,0.8862951933124347,0.4528301886792453
focal_loss,0.8343634116192831,0.8188762571150379,0.7998878121946406,0.7958126170804003,0.8072665074389211,0.36666666666666664
ce_baseline,0.8362175525339925,0.7981780020241199,0.8092278653023817,0.7839166208959853,0.8188540826989102,0.26666666666666666
weighted_ce,0.7595797280593325,0.7134434563718595,0.759937305465518,0.7102916344383583,0.7937396377568791,0.3508771929824561
