train_loss,val_loss,val_f1,val_acc
3.141648333198146,2.5569806220515674,0.21143985514662575,0.2662251655629139
2.312628018228631,1.859021923399919,0.4512579765157793,0.4913907284768212
1.9329247125826383,1.6323134695457306,0.4919223296529498,0.5178807947019868
1.6983550781952708,1.4516909727197609,0.5130651164091822,0.5549668874172186
1.5304526198537727,1.289979839324951,0.6111234745414051,0.6225165562913907
1.4373748146860224,1.1778925096751838,0.6312356000374413,0.6503311258278146
1.3510653151963887,1.1048050311227509,0.6363270196459377,0.6582781456953642
1.2384419007050365,0.9761321640962007,0.6715531799417813,0.6900662251655629
1.1662557880501998,1.005951174600235,0.6573337298380659,0.6662251655629139
1.1255719227539867,1.0804068078268443,0.6597553123456034,0.671523178807947
