Experiment,Strategy,Accuracy,Macro Precision,Macro Recall,Macro F1,Minority Recall,Worst-class Recall
pretrained_ce,MobileNetV2 pretrained + CrossEntropy,0.9171817058096415,0.9042803067836386,0.9006469014413524,0.8991783608389998,0.8750136338757027,0.5333333333333333
pretrained_winner,MobileNetV2 pretrained + WeightedRandomSampler + Light Augmentation + EarlyStopping,0.9035846724351051,0.8745832201074827,0.9023591612563919,0.8780943863844504,0.9091835846146191,0.6666666666666666
simplecnn_ce,SimpleCNN + CrossEntropy,0.8491965389369592,0.8217790950236445,0.7991129744805514,0.7988963555146757,0.7158827188137533,0.2777777777777778
simplecnn_winner,SimpleCNN + WeightedRandomSampler + Light Augmentation + EarlyStopping,0.8139678615574784,0.7771977903181835,0.8104193976161799,0.7765724575899281,0.8251803005423695,0.3508771929824561
