train_loss,val_loss,val_f1,val_acc
3.0017897050085702,2.212786645452845,0.3240324585494885,0.39579468150896724
2.0834133998298014,1.6462512608288096,0.4240908245148652,0.5027829313543599
1.6998088611769266,1.574616391052784,0.4962598838370486,0.5318491032776747
1.4771328086882503,1.2278069948516073,0.5756420310025934,0.6209029066171924
1.290406821582867,1.091783324435086,0.6380813532539631,0.6883116883116883
1.1303595975430474,0.9134741373539855,0.6998244511836421,0.7396413110698825
1.0500940564826495,0.9239106482020409,0.6938603899296653,0.7291280148423006
0.9352039256787537,0.9226268903296453,0.7002425977600685,0.7247990105132962
0.8769576285015758,0.7730674981038808,0.7046517095802082,0.7606679035250464
0.8673307549263589,0.6323205113189783,0.7832918270752279,0.8188002473716759
0.8022596485564212,0.6159898756312675,0.7887200777769829,0.8243661100803958
0.781083895290354,0.8557477488367368,0.6635014889212354,0.7198515769944341
0.7381903216120507,0.6995343511386204,0.7374805278549869,0.7736549165120594
0.7202420468131172,0.7064120405311561,0.7382962088043351,0.7736549165120594
