train_loss,val_loss,val_f1,val_acc
2.6597772449061243,1.8937758214693416,0.23096902832990054,0.4873222016079159
1.7599239276312542,1.406637874664019,0.40297736927184624,0.5627705627705628
1.4063956844365815,1.1750001683232218,0.5181634955119098,0.647495361781076
1.1957024990413332,0.9531352550952465,0.6261785502757867,0.717377860235003
1.0625318954980134,0.841053455865302,0.6857566718667818,0.7594310451453309
0.957662172349521,0.8433231097279172,0.6598760640390533,0.7390228818800247
0.8717311024665833,0.7442504516264208,0.7085632133314942,0.766852195423624
0.7979964330787662,0.7505086819994353,0.716876680525405,0.7680890538033395
0.7355685959387775,0.6069417744782801,0.7530971823443326,0.8070500927643784
0.6824329539833325,0.5987174458981445,0.7523154220168004,0.8157081014223871
0.6423029172246446,0.6854172144396186,0.7396589248951081,0.7915893630179345
0.6071915007197856,0.4679062358744733,0.8071954148774628,0.852195423623995
0.5663533509381097,0.5898977110396216,0.7338647877973725,0.7965367965367965
0.5466067213265356,0.4742819604014053,0.8308510673626582,0.8639455782312925
0.5173359899255089,0.4396369900132818,0.8288240294414396,0.8633271490414347
