train_loss,val_loss,val_f1,val_acc
1.6696299177096314,0.8029063764588658,0.8007930095850662,0.8367346938775511
0.7061472791738885,0.5672570445615713,0.8427642910605531,0.8688930117501547
0.53280426639173,0.45916425087014023,0.858521055461047,0.8862090290661719
0.4361630282231286,0.4063031839122725,0.8590348854154225,0.8874458874458875
0.3899122370968975,0.3784743642910218,0.8718627458543224,0.8936301793444651
0.3467260164377545,0.3312680541400048,0.8885064608224329,0.9109461966604824
0.3215324061455331,0.3221760799874475,0.8883362323346663,0.9097093382807668
0.29608568814051606,0.30723540810205796,0.8905372178264729,0.9121830550401979
0.281451519698994,0.29268616425010546,0.9050635343774504,0.9208410636982065
0.27982972423671776,0.2922423881701503,0.899234392858228,0.9152752009894867
0.25592820747351197,0.2867376842687509,0.8893190392978729,0.9097093382807668
0.24422658991327065,0.2744589235654346,0.9003732194585149,0.91713048855906
