train_loss,val_loss,val_f1,val_acc
1.5076598674328892,0.7149431162508609,0.82017845182235,0.8620902906617193
0.5768809052281297,0.48268112942032704,0.8715313712148495,0.8948670377241806
0.403093887791379,0.390225789948017,0.8773447773602934,0.8948670377241806
0.3239322684980793,0.34763004881921344,0.8862982489455545,0.9066171923314781
0.2733405445727486,0.32241947997773807,0.8954944954529613,0.9152752009894867
0.24089848039488948,0.3038120909318116,0.8925697525994385,0.9140383426097711
0.2073204352551275,0.2917623750833206,0.8935616655498297,0.9158936301793444
0.18979346022910304,0.2760277609804492,0.9021770936848368,0.9196042053184911
0.17477490746662405,0.2743800124712173,0.905763813879403,0.9208410636982065
0.16036401207540052,0.2659389146994719,0.8989501584666769,0.9196042053184911
0.15183283707505538,0.26175068998012413,0.8996959656662622,0.9158936301793444
0.13881753425245966,0.262327909985662,0.9041601950750772,0.9214594928880643
