dataset,model,accuracy,macro_f1,precision,recall
color,SimpleCNN,0.5602649006622517,0.5430678033258821,0.5891461695043878,0.5609649122807018
grayscale,SimpleCNN,0.3536423841059603,0.32055827180721086,0.3525734849742679,0.3513157894736842
segmented,SimpleCNN,0.45165562913907287,0.427338368794113,0.4841517806518026,0.4526315789473684
