epoch,train_loss,val_loss,val_f1,val_acc,stage
1,0.6859704409034396,0.2885141501604523,0.8838778014497223,0.9012891344383057,feature_extraction
2,0.32377778884510827,0.18830826271524306,0.9214441983140369,0.9360957642725598,feature_extraction
3,0.28241485084258944,0.1446536701687133,0.936420726908214,0.9519337016574586,feature_extraction
4,0.25033204436258283,0.12802392762449347,0.9489246604902718,0.9578268876611418,feature_extraction
5,0.2366376884206862,0.13468564192783328,0.9410185609876507,0.9558011049723757,feature_extraction
6,0.20198830564167386,0.09786540865898133,0.9587706242869255,0.967219152854512,fine_tuning
7,0.15722769807247966,0.08276314787827363,0.9654736728720554,0.9723756906077348,fine_tuning
8,0.13518115701530314,0.07632983168021092,0.9700046212451217,0.9767955801104973,fine_tuning
9,0.11656388302620313,0.0710580955127436,0.9712556972091074,0.9779005524861878,fine_tuning
10,0.10267151579234758,0.06405578126400215,0.9713425824373325,0.9777163904235727,fine_tuning
11,0.09700300344670305,0.06214323630059073,0.9732968463653209,0.9790055248618784,fine_tuning
12,0.08651355711899128,0.056897052409021015,0.976106284628376,0.9806629834254144,fine_tuning
13,0.08158465663080726,0.05431982110191006,0.9783014525273139,0.9830570902394107,fine_tuning
14,0.07659527605085475,0.04943461340558793,0.9794889357235865,0.983609576427256,fine_tuning
15,0.0693491062492574,0.04775025956572804,0.9799585946000668,0.9843462246777164,fine_tuning
