Model,Params,Accuracy,Macro F1,Macro Precision,Macro Recall,Minority Recall,Worst Recall
mobilenetv2_residual_se,2761218,0.9915301049530473,0.9888075854062378,0.9867498528057076,0.9910438246834401,0.9941176470588236,0.9411764705882353
mobilenetv2_residual,2758806,0.9909777204934634,0.9883887969163866,0.9862013325498936,0.9908371004601412,0.9948646125116714,0.94
mobilenetv2_baseline,2272550,0.9865586448167925,0.9829215240435425,0.9805886443366459,0.9855189093773989,0.9909430438842204,0.9361702127659575
