Model,Class_ID,Class,Train Sample Count,Is Minority,Recall,F1-score
mobilenetv2_baseline,0,Apple___Apple_scab,504,True,0.9682539682539683,0.976
mobilenetv2_baseline,1,Apple___Black_rot,497,True,1.0,1.0
mobilenetv2_baseline,2,Apple___Cedar_apple_rust,220,True,1.0,1.0
mobilenetv2_baseline,3,Apple___healthy,1316,False,0.9696969696969697,0.9815950920245399
mobilenetv2_baseline,4,Blueberry___healthy,1202,False,1.0,0.9933774834437086
mobilenetv2_baseline,5,Cherry_(including_sour)___Powdery_mildew,842,False,1.0,0.995260663507109
mobilenetv2_baseline,6,Cherry_(including_sour)___healthy,683,False,1.0,0.9941520467836257
mobilenetv2_baseline,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,410,True,0.9411764705882353,0.9230769230769231
mobilenetv2_baseline,8,Corn_(maize)___Common_rust_,953,False,1.0,1.0
mobilenetv2_baseline,9,Corn_(maize)___Northern_Leaf_Blight,788,False,0.9489795918367347,0.9587628865979382
mobilenetv2_baseline,10,Corn_(maize)___healthy,930,False,1.0,1.0
mobilenetv2_baseline,11,Grape___Black_rot,944,False,0.9915254237288136,0.9873417721518988
mobilenetv2_baseline,12,Grape___Esca_(Black_Measles),1106,False,0.9856115107913669,0.9891696750902527
mobilenetv2_baseline,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),861,False,1.0,1.0
mobilenetv2_baseline,14,Grape___healthy,338,True,1.0,1.0
mobilenetv2_baseline,15,Orange___Haunglongbing_(Citrus_greening),4405,False,1.0,1.0
mobilenetv2_baseline,16,Peach___Bacterial_spot,1837,False,0.991304347826087,0.991304347826087
mobilenetv2_baseline,17,Peach___healthy,288,True,1.0,0.96
mobilenetv2_baseline,18,"Pepper,_bell___Bacterial_spot",798,False,0.98989898989899,0.98
mobilenetv2_baseline,19,"Pepper,_bell___healthy",1182,False,0.9864864864864865,0.9898305084745763
mobilenetv2_baseline,20,Potato___Early_blight,800,False,1.0,1.0
mobilenetv2_baseline,21,Potato___Late_blight,800,False,0.98,0.98
mobilenetv2_baseline,22,Potato___healthy,122,True,1.0,0.967741935483871
mobilenetv2_baseline,23,Raspberry___healthy,297,True,1.0,1.0
