epoch,train_loss,val_loss,val_f1,val_acc,stage
1,0.6961920258076566,0.24163734235047854,0.9067827648827781,0.9250460405156538,feature_extraction
2,0.3359118619272255,0.15627318976333787,0.9361272296179073,0.947145488029466,feature_extraction
3,0.28716741810570695,0.14442384724898014,0.9383934328716649,0.950828729281768,feature_extraction
4,0.2583621787043657,0.15387494882935757,0.9380038223294163,0.9513812154696133,feature_extraction
5,0.24363663495300378,0.1292060643297313,0.9464725765543691,0.9578268876611418,feature_extraction
6,0.1906139352111491,0.09421733528595164,0.9601267123291575,0.969060773480663,fine_tuning
7,0.15127126554924308,0.07900764604629074,0.967528650710716,0.974585635359116,fine_tuning
8,0.1308978572268313,0.07082110583013812,0.9689250076587951,0.976427255985267,fine_tuning
9,0.11288879815742528,0.06611827954265734,0.9713011915329188,0.9769797421731123,fine_tuning
10,0.10063564127326374,0.06018057352765489,0.9737873180000809,0.9793738489871087,fine_tuning
11,0.09203960438000927,0.056430205532639506,0.974452087561143,0.980110497237569,fine_tuning
12,0.08748422142218713,0.05288825540993754,0.9765396202654467,0.98195211786372,fine_tuning
13,0.07852679104434035,0.04831398080341504,0.9788302050639475,0.9828729281767956,fine_tuning
14,0.07117611004696313,0.047279960466600254,0.9789588208976013,0.9834254143646409,fine_tuning
15,0.06694969948253934,0.0447727939371246,0.9805225676307588,0.9843462246777164,fine_tuning
