Class_ID,Class,Train Sample Count,Is Minority,Baseline Recall,mobilenetv2_residual_se Recall,Recall Improvement
31,Tomato___Leaf_Mold,762,False,0.9578947368421052,1.0,0.04210526315789476
30,Tomato___Late_blight,1527,False,0.9476439790575916,0.9842931937172775,0.03664921465968596
0,Apple___Apple_scab,504,True,0.9682539682539683,1.0,0.031746031746031744
9,Corn_(maize)___Northern_Leaf_Blight,788,False,0.9489795918367347,0.9693877551020408,0.020408163265306034
3,Apple___healthy,1316,False,0.9696969696969697,0.9878787878787879,0.018181818181818188
34,Tomato___Target_Spot,1123,False,0.9361702127659575,0.950354609929078,0.014184397163120588
33,Tomato___Spider_mites Two-spotted_spider_mite,1341,False,0.9761904761904762,0.9880952380952381,0.011904761904761973
29,Tomato___Early_blight,800,False,0.94,0.95,0.010000000000000009
21,Potato___Late_blight,800,False,0.98,0.99,0.010000000000000009
28,Tomato___Bacterial_spot,1702,False,0.9577464788732394,0.9671361502347418,0.009389671361502372
12,Grape___Esca_(Black_Measles),1106,False,0.9856115107913669,0.9928057553956835,0.007194244604316613
19,"Pepper,_bell___healthy",1182,False,0.9864864864864865,0.9932432432432432,0.006756756756756688
35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,4286,False,0.9944029850746269,0.996268656716418,0.001865671641791078
25,Squash___Powdery_mildew,1468,False,1.0,1.0,0.0
13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),861,False,1.0,1.0,0.0
36,Tomato___Tomato_mosaic_virus,298,True,1.0,1.0,0.0
2,Apple___Cedar_apple_rust,220,True,1.0,1.0,0.0
4,Blueberry___healthy,1202,False,1.0,1.0,0.0
32,Tomato___Septoria_leaf_spot,1417,False,0.9887005649717514,0.9887005649717514,0.0
5,Cherry_(including_sour)___Powdery_mildew,842,False,1.0,1.0,0.0
6,Cherry_(including_sour)___healthy,683,False,1.0,1.0,0.0
7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,410,True,0.9411764705882353,0.9411764705882353,0.0
8,Corn_(maize)___Common_rust_,953,False,1.0,1.0,0.0
27,Strawberry___healthy,365,True,1.0,1.0,0.0
26,Strawberry___Leaf_scorch,887,False,1.0,1.0,0.0
37,Tomato___healthy,1273,False,1.0,1.0,0.0
23,Raspberry___healthy,297,True,1.0,1.0,0.0
22,Potato___healthy,122,True,1.0,1.0,0.0
10,Corn_(maize)___healthy,930,False,1.0,1.0,0.0
20,Potato___Early_blight,800,False,1.0,1.0,0.0
1,Apple___Black_rot,497,True,1.0,1.0,0.0
18,"Pepper,_bell___Bacterial_spot",798,False,0.98989898989899,0.98989898989899,0.0
17,Peach___healthy,288,True,1.0,1.0,0.0
16,Peach___Bacterial_spot,1837,False,0.991304347826087,0.991304347826087,0.0
15,Orange___Haunglongbing_(Citrus_greening),4405,False,1.0,1.0,0.0
14,Grape___healthy,338,True,1.0,1.0,0.0
24,Soybean___healthy,4072,False,0.9980353634577603,0.9960707269155207,-0.0019646365422396617
11,Grape___Black_rot,944,False,0.9915254237288136,0.9830508474576272,-0.008474576271186418
