train_loss,val_loss,val_f1,val_acc,stage
1.9867384998346822,1.0937207413861325,0.6103050181909705,0.6710865561694291,single_stage
1.0615551475332252,0.927813983863669,0.685384155143453,0.7143646408839779,single_stage
0.797914776104215,0.6325973705033571,0.7628305530575402,0.7948434622467772,single_stage
0.6698831122187815,0.41708043852124643,0.8399104372617524,0.8692449355432781,single_stage
0.5945019023697873,0.3546828654589574,0.854623532305531,0.8847145488029466,single_stage
0.5296010453500599,0.6160038355305708,0.781979339497312,0.8106813996316758,single_stage
0.49100332816171116,0.28215052979427147,0.8908152680562262,0.9125230202578268,single_stage
0.4474867724870716,0.3152329435006031,0.8755830622950419,0.8946593001841621,single_stage
0.4110667794797425,0.2778261411146125,0.8740507790108922,0.905524861878453,single_stage
0.39126069383467116,0.24974117137450538,0.8932478507848365,0.9134438305709024,single_stage
0.3547624316940803,0.2599454185031835,0.898785020907322,0.9138121546961326,single_stage
0.3375329193670703,0.42743440520697534,0.8423047827597767,0.8598526703499079,single_stage
0.31959931701819616,0.18056084132216474,0.9277566798366589,0.941804788213628,single_stage
0.30061556063417505,0.208543474502985,0.9113186397848648,0.9292817679558011,single_stage
0.28620863360063925,0.1765061011795181,0.9259080190297295,0.9403314917127071,single_stage
