train_loss,val_loss,val_f1,val_acc,stage
0.9019556989020905,0.46733938670729186,0.84928600220631,0.8782688766114181,feature_extraction
0.4596655754964662,0.3594072239065258,0.875480561762152,0.8976058931860037,feature_extraction
0.39942467117735436,0.31299621076434575,0.8848902318197404,0.9082872928176795,feature_extraction
0.36707438588493624,0.2949046987635435,0.8883952361492206,0.9114180478821363,feature_extraction
0.35671563095978837,0.2924319238623203,0.8820168662837707,0.9077348066298343,feature_extraction
0.2858130702883178,0.20510524362051247,0.9181199093844585,0.9368324125230203,fine_tuning
0.20741988048293558,0.15362028297908178,0.9366665795742377,0.9528545119705341,fine_tuning
0.16529905291296657,0.12732432229962357,0.9448784733970208,0.9585635359116023,fine_tuning
0.13034761583796303,0.10607409362525132,0.9548191506409299,0.9670349907918969,fine_tuning
0.10709101590741658,0.09176322164127182,0.9606545694071095,0.9705340699815838,fine_tuning
0.093645166034621,0.08115876859009376,0.9654542854701397,0.9742173112338858,fine_tuning
0.07962651010618148,0.06939868004941149,0.9698519500249573,0.9769797421731123,fine_tuning
0.07116691650315637,0.06333206946898122,0.9708277837127355,0.9773480662983426,fine_tuning
0.06162617385683084,0.05352535274421752,0.9750053093209354,0.9812154696132597,fine_tuning
0.051533295308037304,0.051227253889510646,0.9773023538710423,0.983609576427256,fine_tuning
