train_loss,val_loss,val_f1,val_acc,stage
0.8115533181299723,0.374930801279637,0.8765160212411551,0.8979742173112338,feature_extraction
0.36536878590513117,0.27257918964652944,0.9036548378859376,0.9208103130755064,feature_extraction
0.30574605500003316,0.2409293267169271,0.9138894835687338,0.9296500920810313,feature_extraction
0.27281773015452004,0.23397507628024614,0.9131003898793261,0.9283609576427256,feature_extraction
0.2662134014976232,0.21127234064522807,0.9135852362899282,0.9318600368324125,feature_extraction
0.23065665664182008,0.17160196102346065,0.9371014478719402,0.9495395948434623,fine_tuning
0.17381352865817237,0.14147932264356983,0.9465377690682256,0.9558011049723757,fine_tuning
0.13607764077931847,0.118336899490756,0.9578962223673435,0.9639042357274401,fine_tuning
0.11658947394923955,0.10264601284024026,0.9625023290019318,0.9683241252302026,fine_tuning
0.10114097925658143,0.0926602413641155,0.9642161578833308,0.9697974217311234,fine_tuning
0.08826045804092726,0.08346997350728753,0.9673781073251945,0.9729281767955801,fine_tuning
0.07741734404012254,0.07819680833081075,0.9698725440593922,0.9738489871086556,fine_tuning
0.06683054993071616,0.07056759165987564,0.9755093855771999,0.9779005524861878,fine_tuning
0.06318558484587526,0.06483779918560227,0.976830246044646,0.9797421731123389,fine_tuning
0.05319004459242286,0.0609389781876438,0.9784198835549729,0.9810313075506446,fine_tuning
