Experiment,Class_ID,Class,Train Sample Count,Test Sample Count,Is Minority,Precision,Recall,F1-score
sampler_aug_earlystop,19,"Pepper,_bell___healthy",236,44,False,0.9583333333333334,0.5227272727272727,0.6764705882352942
sampler_aug_earlystop,16,Peach___Bacterial_spot,367,69,False,0.6909090909090909,0.5507246376811594,0.6129032258064516
sampler_aug_earlystop,0,Apple___Apple_scab,100,18,True,0.625,0.5555555555555556,0.5882352941176471
sampler_aug_earlystop,30,Tomato___Late_blight,305,57,False,0.7619047619047619,0.5614035087719298,0.6464646464646465
sampler_aug_earlystop,32,Tomato___Septoria_leaf_spot,283,53,False,0.6078431372549019,0.5849056603773585,0.5961538461538461
sampler_aug_earlystop,29,Tomato___Early_blight,160,30,False,0.9047619047619048,0.6333333333333333,0.7450980392156863
sampler_aug_earlystop,3,Apple___healthy,263,49,False,0.7727272727272727,0.6938775510204082,0.7311827956989247
sampler_aug_earlystop,21,Potato___Late_blight,160,30,False,0.6875,0.7333333333333333,0.7096774193548387
sampler_aug_earlystop,31,Tomato___Leaf_Mold,152,28,True,0.65625,0.75,0.7
sampler_aug_earlystop,28,Tomato___Bacterial_spot,340,63,False,0.819672131147541,0.7936507936507936,0.8064516129032258
