Experiment,Minority Recall,Worst-class Recall
baseline,0.7158827188137533,0.2777777777777778
weighted_sampler,0.8848434841021048,0.41509433962264153
sampler_light_aug,0.8526408916753743,0.42105263157894735
sampler_aug_earlystop,0.8988256704980844,0.5227272727272727
hybrid_resampling,0.8821881375329651,0.43859649122807015
