Phase,Model,Experiment,Accuracy,Macro F1,Minority Recall,Worst Recall,Accuracy - Macro F1 Gap,Minority - Worst Gap
Phase 09,Improved MobileNetV2 final model,mobilenetv2_residual_se,0.9915301049530472,0.9888075854062378,0.9941176470588236,0.9411764705882352,0.0027225195468093544,0.05294117647058838
Phase 08,MobileNetV2 winner,mobilenetv2_winner,0.9865586448167925,0.9829215240435424,0.9909430438842204,0.9361702127659576,0.0036371207732500688,0.05477283111826281
Phase 08,EfficientNet-B0 winner,efficientnet_b0_winner,0.9841649788252624,0.9795558208669216,0.9791409897292253,0.8979591836734694,0.004609157958340826,0.08118180605575587
Phase 05,Phase 05 winner,sampler_aug_earlystop,0.8331273176761433,0.8126352213919803,0.8988256704980844,0.5227272727272727,0.02049209628416304,0.37609839777081167
Phase 07,SimpleCNN hybrid strategy,sampler_aug_earlystop,0.8331273176761433,0.8126352213919803,0.8988256704980844,0.5227272727272727,0.02049209628416304,0.37609839777081167
Phase 06,Best loss-level SimpleCNN,class_balanced_loss,0.8325092707045736,0.7959354455148562,0.8862951933124347,0.4528301886792453,0.03657382518971741,0.4334650046331894
Phase 05,SimpleCNN baseline,baseline,0.8491965389369592,0.7988963555146757,0.7158827188137533,0.2777777777777778,0.050300183422283484,0.4381049410359755
