Experiment,Macro F1,Recall,Accuracy
baseline,0.6972610706345974,0.7135964912280701,0.713907284768212
exp1_flip,0.6684663734474491,0.6907894736842105,0.6900662251655629
exp2_rotation,0.6669351292156387,0.6776315789473685,0.6781456953642384
exp3_flip_rot,0.639421015143584,0.6614035087719298,0.6609271523178808
exp4_jitter,0.5859486737668897,0.6026315789473685,0.6039735099337749
exp5_erasing,0.6634847938394177,0.6780701754385964,0.6781456953642384
