Source,Experiment,Strategy,Accuracy,Macro Precision,Macro Recall,Macro F1,Minority Recall,Worst Recall
Phase 05 Winner,sampler_aug_earlystop,sampler_aug_earlystop,0.8331273176761433,,,0.8126352213919803,0.8988256704980844,0.5227272727272727
Phase 06 Winner,class_balanced_loss,class_balanced_loss,0.8325092707045736,0.7750587148205241,0.8458575041394688,0.7959354455148562,0.8862951933124347,0.4528301886792453
Phase 07 Hybrid,hybrid_sampler_aug_earlystop_class_balanced_loss,sampler_aug_earlystop + class_balanced_loss,0.7367119901112484,0.7354552298596506,0.7925226171402455,0.7278350791493119,0.8910284122008261,0.39622641509433965
